col1,col2,chi2,p,result
20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,10.492063492063492,0.5728749860541626,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,20.773448773448774,0.1873842606720075,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,23A Locus of Marking in the Clause,16.924242424242426,0.15246934952354196,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,24A Locus of Marking in Possessive Noun Phrases,32.71111111111112,0.008069306409151728,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,25A Locus of Marking: Whole-language Typology,25.71428571428571,0.011778114771472269,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,26A Prefixing vs. Suffixing in Inflectional Morphology,17.400000000000002,0.3601807851618759,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,27A Reduplication,6.5396825396825395,0.587009476229037,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,28A Case Syncretism,14.383838383838384,0.2768714361795981,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,29A Syncretism in Verbal Person/Number Marking,12.656084656084658,0.12424328422227195,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,30A Number of Genders,8.45625,0.7485374763559302,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,31A Sex-based and Non-sex-based Gender Systems,6.378472222222222,0.6049167307281196,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,32A Systems of Gender Assignment,6.703125,0.5689754664914154,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,33A Coding of Nominal Plurality,19.486111111111114,0.2442623089764729,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,34A Occurrence of Nominal Plurality,23.52380952380952,0.0027529732223394395,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,35A Plurality in Independent Personal Pronouns,16.95726495726496,0.655746858894641,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,36A The Associative Plural,7.257142857142857,0.8401630893852727,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,37A Definite Articles,32.4296875,0.008787078013133285,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,38A Indefinite Articles,24.93367346938776,0.01514032104288262,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,39A Inclusive/Exclusive Distinction in Independent Pronouns,14.518518518518519,0.06921201999773936,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,40A Inclusive/Exclusive Distinction in Verbal Inflection,9.444444444444443,0.3062002275618058,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,41A Distance Contrasts in Demonstratives,4.479638009049773,0.81146678820889,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,42A Pronominal and Adnominal Demonstratives,2.142857142857143,0.9763160441363908,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,43A Third Person Pronouns and Demonstratives,11.2,0.7969752856533477,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,44A Gender Distinctions in Independent Personal Pronouns,15.723905723905725,0.2042114346596027,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,45A Politeness Distinctions in Pronouns,15.888888888888893,0.1963783273693976,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,46A Indefinite Pronouns,9.8281512605042,0.8754471749441465,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,47A Intensifiers and Reflexive Pronouns,5.037037037037037,0.2835183325225992,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,48A Person Marking on Adpositions,6.403508771929825,0.6021291915187057,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,49A Number of Cases,10.55294117647059,0.9918605652257192,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,50A Asymmetrical Case-Marking,15.220588235294116,0.5085454978229496,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,51A Position of Case Affixes,22.661764705882355,0.12307981725504236,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,52A Comitatives and Instrumentals,9.684375,0.28788106314015804,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,53A Ordinal Numerals,20.555555555555557,0.19623371444093565,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,54A Distributive Numerals,12.4,0.7160162577921949,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,55A Numeral Classifiers,10.197916666666666,0.2514087008590417,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,56A Conjunctions and Universal Quantifiers,7.594907407407407,0.26930819584357424,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,57A Position of Pronominal Possessive Affixes,4.761904761904762,0.31261122859368184,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,58A Obligatory Possessive Inflection,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,59A Possessive Classification,0.0,1.0,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,"60A Genitives, Adjectives and Relative Clauses",23.564935064935064,0.07285963402940962,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,61A Adjectives without Nouns,22.640625000000004,0.007055907345276309,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,62A Action Nominal Constructions,36.111111111111114,0.13979017009218053,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,63A Noun Phrase Conjunction,5.000576701268742,0.2872383271487027,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,64A Nominal and Verbal Conjunction,6.874999999999997,0.14264320376301265,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,65A Perfective/Imperfective Aspect,4.888888888888889,0.2988893570768673,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,66A The Past Tense,15.394957983193276,0.003948396313822246,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,67A The Future Tense,5.037037037037037,0.2835183325225992,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,68A The Perfect,13.8,0.3136619107141375,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,69A Position of Tense-Aspect Affixes,20.288888888888884,0.0618147241064181,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,70A The Morphological Imperative,11.570370370370373,0.48077046110476895,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,71A The Prohibitive,11.176470588235297,0.2638065235755353,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,72A Imperative-Hortative Systems,4.685185185185184,0.5847765151062256,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,73A The Optative,0.7272727272727272,0.9479235387257438,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,74A Situational Possibility,3.326984126984127,0.9121949186684846,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,75A Epistemic Possibility,4.0,0.8571234604985469,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,76A Overlap between Situational and Epistemic Modal Marking,15.195767195767194,0.055448821495225294,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,77A Semantic Distinctions of Evidentiality,5.7142857142857135,0.679200722903436,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,78A Coding of Evidentiality,5.7142857142857135,0.999231997117647,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,79A Suppletion According to Tense and Aspect,10.161616161616164,0.2538653718465365,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,80A Verbal Number and Suppletion,0.3478260869565217,0.9865212692840976,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,"81A Order of Subject, Object and Verb",8.0,0.7851303870304052,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,82A Order of Subject and Verb,1.1428571428571432,0.997174759658016,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,83A Order of Object and Verb,4.8,0.7787229110363171,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,"84A Order of Object, Oblique, and Verb",8.666666666666666,0.1932104508494086,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,85A Order of Adposition and Noun Phrase,15.298642533936652,0.05359213995278856,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,86A Order of Genitive and Noun,4.2051282051282035,0.8381579380018092,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,87A Order of Adjective and Noun,5.95959595959596,0.6517578829396447,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,88A Order of Demonstrative and Noun,13.023809523809526,0.1110330227718962,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,89A Order of Numeral and Noun,7.600000000000001,0.1073797049095948,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,90A Order of Relative Clause and Noun,3.055555555555556,0.9951389248197048,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,91A Order of Degree Word and Adjective,27.94117647058824,9.638996764596213e-05,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,92A Position of Polar Question Particles,26.208403361344534,0.15903875834087944,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,93A Position of Interrogative Phrases in Content Questions,16.2051282051282,0.03953644980805138,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,94A Order of Adverbial Subordinator and Clause,1.774691358024691,0.9996811017531472,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,10.792780748663102,0.8220915645890752,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,96A Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,16.205128205128204,0.4387383253687787,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun,11.888888888888893,0.7515924165304008,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,98A Alignment of Case Marking of Full Noun Phrases,11.148148148148149,0.5162668888610493,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,99A Alignment of Case Marking of Pronouns,12.317460317460315,0.42053257630488383,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,100A Alignment of Verbal Person Marking,7.9222222222222225,0.44110440802045614,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,101A Expression of Pronominal Subjects,20.055357142857147,0.2177377273407343,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,102A Verbal Person Marking,21.666666666666664,0.04142998918082191,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,103A Third Person Zero of Verbal Person Marking,12.611111111111116,0.12594904430966142,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,104A Order of Person Markers on the Verb,3.294117647058824,0.993087203633859,Independent (fail to reject H0)
20A Fusion of Selected Inflectional Formatives,105A Ditransitive Constructions: The Verb 'Give',31.69444444444445,0.0015421797568998096,Dependent (reject H0)
20A Fusion of Selected Inflectional Formatives,106A Reciprocal Constructions,27.870588235294115,0.005778276896993271,Dependent (reject H0)
